Result,match_number,team,opponent,toss_decision,gender,season,team_score,team_wickets,winner,toss_winner,home_advantage,venue_city,choose_to_bat,avg_score,avg_win_rate,avg_wickets_out,last_match_result
win,16,London Spirit,Trent Rockets,bat,male,2023,195,4,London Spirit,Trent Rockets,yes,"Lord's, London London",no,,,,
lose,16,Trent Rockets,London Spirit,field,male,2023,193,5,London Spirit,Trent Rockets,no,"Lord's, London London",yes,,,,
lose,17,Welsh Fire,Southern Brave,bat,male,2023,87,0,Southern Brave,Southern Brave,yes,"Sophia Gardens, Cardiff Cardiff",no,,,,
win,17,Southern Brave,Welsh Fire,field,male,2023,91,1,Southern Brave,Southern Brave,no,"Sophia Gardens, Cardiff Cardiff",yes,,,,
win,18,Manchester Originals,Northern Superchargers,bat,male,2023,182,6,Manchester Originals,Manchester Originals,no,"Headingley, Leeds Leeds",yes,,,,
lose,18,Northern Superchargers,Manchester Originals,field,male,2023,141,9,Manchester Originals,Manchester Originals,yes,"Headingley, Leeds Leeds",no,,,,
win,19,Birmingham Phoenix,Oval Invincibles,bat,male,2023,160,8,Birmingham Phoenix,Oval Invincibles,yes,"Edgbaston, Birmingham Birmingham",no,,,,
lose,19,Oval Invincibles,Birmingham Phoenix,field,male,2023,119,0,Birmingham Phoenix,Oval Invincibles,no,"Edgbaston, Birmingham Birmingham",yes,,,,
win,20,Trent Rockets,Welsh Fire,bat,male,2023,152,6,Trent Rockets,Welsh Fire,no,"Sophia Gardens, Cardiff Cardiff",no,,,,
lose,20,Welsh Fire,Trent Rockets,field,male,2023,148,6,Trent Rockets,Welsh Fire,yes,"Sophia Gardens, Cardiff Cardiff",yes,,,,
win,21,Oval Invincibles,London Spirit,bat,male,2023,189,4,Oval Invincibles,Oval Invincibles,yes,"Kennington Oval, London London",yes,,,,
lose,21,London Spirit,Oval Invincibles,field,male,2023,187,7,Oval Invincibles,Oval Invincibles,no,"Kennington Oval, London London",no,,,,
lose,22,Birmingham Phoenix,Southern Brave,bat,male,2023,119,8,Southern Brave,Birmingham Phoenix,no,"The Rose Bowl, Southampton Southampton",yes,,,,
win,22,Southern Brave,Birmingham Phoenix,field,male,2023,120,6,Southern Brave,Birmingham Phoenix,yes,"The Rose Bowl, Southampton Southampton",no,,,,
